URL,Response Code,News Error,Detected,Category,Platform,Last crawled
http://simpleflatmapper.org/1.8.0/org/sfm/jooq/JooqMappingContextFactoryBuilder.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.5.4/org/sfm/jdbc/impl/JoinJdbcMapper.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.6.1/org/sfm/tuples/Tuple10.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/csv/impl/cellreader/time/package-frame.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/reflect/primitive/LongMethodSetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/reflect/meta/PropertyFinder.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/jdbc/impl/getter/ArrayToListResultSetGetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/utils/package-frame.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/primitive/DoubleDelayedCellSetterFactory.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/ColumnsMapperKeyBuilderCellConsumer.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/reflect/primitive/BooleanFieldSetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/jdbc/impl/getter/NStringResultSetGetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/csv/impl/cellreader/EnumCellValueReader.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/reflect/TypeReference.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/primitive/ShortDelayedCellSetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/jdbc/impl/getter/ResultSetGetterFactory.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/jdbc/impl/AbstractJdbcMapperImpl.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/cellreader/BooleanCellValueReader.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.6/org/sfm/csv/parser/package-summary.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/primitive/ByteDelayedCellSetterFactory.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/reflect/meta/ClassVisitor.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/CsvMapperCellConsumer.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/csv/impl/cellreader/CharCellValueReaderUnbox.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/jdbc/impl/getter/joda/package-frame.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/CsvParser.DSL.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/jdbc/impl/DiscriminatorJdbcMapper.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/map/impl/fieldmapper/IntFieldMapper.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/primitive/CharDelayedGetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/map/impl/RethrowRowHandlerErrorHandler.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/reflect/impl/NullSetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/cellreader/CellSetterImpl.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/cellreader/DateCellValueReader.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/DelayedCellSetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.2/org/sfm/csv/parser/package-use.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.5.4/org/sfm/csv/class-use/CsvParser.MapToDSL.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/primitive/FloatDelayedGetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/cellreader/DelayedCellSetterImpl.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/primitive/LongDelayedGetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/cellreader/joda/package-frame.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/reflect/asm/AsmHelper.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/primitive/IntCellSetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/cellreader/joda/JodaDateTimeCellValueReader.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.1/org/sfm/jooq/getter/class-use/RecordGetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/jdbc/impl/package-frame.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/jdbc/impl/getter/UndefinedDateResultSetGetter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/jdbc/package-summary.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.8.0/org/sfm/csv/parser/package-tree.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/reflect/ConstructorParameter.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/csv/impl/primitive/package-frame.html,404,,12/31/16,Not found,Desktop,12/31/16
http://simpleflatmapper.org/1.7.0/org/sfm/map/CaseInsensitiveFieldKeyNamePredicate.html,404,,12/31/16,Not found,Desktop,12/31/16
